naics,description
722511,Full-Service Restaurants
722513,Limited-Service Restaurants
485320,Limousine Service
517111,Wired Telecommunications Carriers
517112,Wireless Telecommunications Carriers
484110,General Freight Trucking, Local
454110,Electronic Shopping and Mail-Order Houses
511210,Software Publishers
541511,Custom Computer Programming Services
541512,Computer Systems Design Services
541613,Marketing Consulting Services
524114,Direct Health and Medical Insurance Carriers
524126,Direct Property and Casualty Insurance Carriers
445110,Supermarkets and Other Grocery (except Convenience) Stores
